Title,Year,Genre,Plot,Language,Poster,IMDBRating,Director,Production,Error
Blood and Bone,2009,"28, 80, 53","In Los Angeles, an ex-con takes the underground fighting world by storm in his quest to fulfill a promise to a dead friend.",en,https://image.tmdb.org/t/p/w500/4XoqjwKhqN3GlGt0fQtcY2OhkZq.jpg,7.4,Ben Ramsey,"Remarkable Films, Michael Mailer Films",
The Book of Stone,2009,27,"Julieta is a young child psychologist hired by millionaire Eugenio Ruvalcaba, to work with his only daughter, Sylvia, who has severe emotional problems, while staying in their isolated island mansion. Once there, she finds out there's much more to Sylvia's imaginary friend than what everybody knows... and the results can be horrifying... Remake of Carlos Enrique Taboada's classic film from 1969.",es,https://image.tmdb.org/t/p/w500/7at1BvpGMX54oBMgAADUmRrO5IP.jpg,4.2,Julio César Estrada,,
Lost in Galicia,2009,35,,es,https://image.tmdb.org/t/p/w500/6NdguRwDMtXE6po8O7nWmc3Zub6.jpg,6,Angel de la Cruz,"Artemática, S.L., Cinematógrafo Films, S.L., Perro Verde Films, Postproducción Resonancia",
Inglourious Basterds,2009,"18, 53, 10752","In Nazi-occupied France during World War II, a group of Jewish-American soldiers known as ""The Basterds"" are chosen specifically to spread fear throughout the Third Reich by scalping and brutally killing Nazis. The Basterds, lead by Lt. Aldo Raine soon cross paths with a French-Jewish teenage girl who runs a movie theater in Paris which is targeted by the soldiers.",en,https://image.tmdb.org/t/p/w500/7sfbEnaARXDDhKm0CZ7D7uc2sbo.jpg,8.2,Quentin Tarantino,"The Weinstein Company, A Band Apart, Zehnte Babelsberg Film",
The Box,2009,"53, 878","Norma and Arthur Lewis, a suburban couple with a young child, receive a simple wooden box as a gift, which bears fatal and irrevocable consequences. A mysterious stranger delivers the message that the box promises to bestow upon its owner $1 million with the press of a button. However pressing this button will simultaneously cause the death of another human being somewhere in the world; someone they don't know. With just 24 hours to have the box in their possession, Norma and Arthur find themselves in the cross-hairs of a startling moral dilemma and must face the true nature of their humanity.",en,https://image.tmdb.org/t/p/w500/xMAmOu6xl4CsstixcuecBle9krd.jpg,5.6,Richard Kelly,"MRC, Radar Pictures, Darko Entertainment, Lin Pictures",
Two-Minute Heist,2009,35,"Slacker Dino Rado, and his uptight partner, Steven Scheere made a bad investment. They borrowed money to fund a ""B"" movie that flopped big time and now the Jamaican Mob wants it's money back. As a last resort they steal and idea from a screenplay to cast unsuspecting actors to pull off a real heist. Their plan is flawless, until they put it into action. Dino and Steven didn't plan on getting shot at, beat up, and even worse, falling in love.",en,N/A,0,Kris Arnold,,
Whiteout,2009,"28, 80, 9648, 53","The only U.S. Marshal assigned to Antarctica, Carrie Stetko will soon leave the harsh environment behind for good – in three days, the sun will set and the Amundsen-Scott Research Station will shut down for the long winter. When a body is discovered out on the open ice, Carrie's investigation into the continent's first homicide plunges her deep into a mystery that may cost her her own life.",en,https://image.tmdb.org/t/p/w500/kkXXA3353MX60B8PRSkTGRabxXu.jpg,5.6,Dominic Sena,"Dark Castle Entertainment, Warner Bros. Pictures",
Possession,2009,"9648, 53","A woman's life is thrown into chaos after a freak car accident sends her husband and brother-in-law into comas. Thrills arrive after the brother-in-law wakes up, thinking he's his brother.",en,https://image.tmdb.org/t/p/w500/8L0ZVI4OAm6nagDx5QM0ufUsqG8.jpg,5.5,Joel Bergvall,"Yari Film Group, Addicted Productions, Vertigo Entertainment, Spitfire Pictures",
Sterling: The Secret of the Lost Medallion,2009,14,"While at camp, Alex Sterling and his friends have stumbled upon an old journal left behind by his deceased grandfather where they learn of the existence of a legendary medallion believed to have originally belonged to the Biblical King Solomon. Many adventures follow as they uncover clues leading to the final resting place of the medallion.",en,https://image.tmdb.org/t/p/w500/onhP6o46zwLLu985vgDSDnS34Bs.jpg,0,Clayton Miller,,
Malice in Wonderland,2010,"14, 18, 12","A modern take on the classic fairytale, Alice in Wonderland, set in South East England.An American law student in London. Knocked down by a black cab, she wakes with amnesia in a world that's a million miles from home - Wonderland. We follow her adventures as she's dragged through an underworld filled with twisted individuals and the lowest low-lifers, by the enigmatic cab driver, Whitey. She needs to find out who she is, where she's from and use what wits she has left to get back home in one piece. As her journey progresses she discovers nothing is what it seems, realizes that fate and life are terminally entwined, and finds true love lurking in the unlikeliest place.",en,https://image.tmdb.org/t/p/w500/rFbyN3bOtQEMgZzF30xE4570NKu.jpg,5.3,Simon Fellows,Mark Williams Films,
Astro Boy,2009,"16, 28, 10751, 878","Set in the futuristic Metro City, Astro Boy (Atom) is a young robot with incredible powers created by a brilliant scientist in the image of the son he had lost. Unable to fulfill his creator's expectations, Astro embarks on a journey in search of acceptance, experiencing betrayal and a netherworld of robot gladiators, before returning to save Metro City and reconcile with the father who rejected him.",en,https://image.tmdb.org/t/p/w500/nKiEA8Z81i2sWxhjs0pcNbs2Rmr.jpg,6.3,David Bowers,"Summit Entertainment, Imagi Animation Studios, Tezuka Productions",
The Lovely Bones,2009,"14, 18","After being brutally murdered, 14-year-old Susie Salmon watches from heaven over her grief-stricken family -- and her killer. As she observes their daily lives, she must balance her thirst for revenge with her desire for her family to heal.",en,https://image.tmdb.org/t/p/w500/sn0iDphRxQ7I6aLd9igIgACITak.jpg,7.1,Peter Jackson,"WingNut Films, DreamWorks Pictures, Film4 Productions",
Cargo,2009,"53, 9648, 878",The story of CARGO takes place on rusty space-freighter KASSANDRA on its way to Station 42. The young medic LAURA is the only one awake on board while the rest of the crew lies frozen in hibernation sleep. In 4 months will Laura's shift be over.,de,https://image.tmdb.org/t/p/w500/cZRLGCW5MkMJiuVOdXBcIsUMhFA.jpg,5.9,Ivan Engler,"Centauri Media, Teleclub, Ascot Elite Entertainment Group, Atlantis Pictures, Telepool, Egli Film, SRF",
Boppin' at the Glue Factory,2009,"35, 18",A junkie nurse rules the night shift at a convalescent hospital.,en,https://image.tmdb.org/t/p/w500/4i5lLPXcXTi8bRA1upXIgIb4rzl.jpg,4.5,Jeff Orgill,,
Where the Wild Things Are,2009,"10751, 14, 18, 12","Max imagines running away from his mom and sailing to a far-off land where large talking beasts—Ira, Carol, Douglas, the Bull, Judith and Alexander—crown him as their king, play rumpus, build forts and discover secret hideaways.",en,https://image.tmdb.org/t/p/w500/sDFV9VEjwTUWF1s5sjOllsb70jk.jpg,6.5,Spike Jonze,"Warner Bros. Pictures, Legendary Pictures, Village Roadshow Pictures, Playtone, Wild Things Productions, KLG Film Invest",
Youth in Revolt,2009,"35, 10749","As a fan of Albert Camus and Jean-Luc Godard, teenage Nick Twisp is definitely out of his element when his mother and her boyfriend move the family to a trailer park. When a pretty neighbor named Sheeni plays records by French crooners, it's love at first sight for frustrated and inexperienced Nick. Learning that she is dating someone, Nick launches a hilarious quest to find his way into Sheeni's heart -- and bed.",en,https://image.tmdb.org/t/p/w500/3J48x7Utjx0sdYIvjsMWnlEbxpV.jpg,6.169,Miguel Arteta,Dimension Films,
House of Boys,2009,"18, 10749","It is 1984. Frank is a determined English teenager who runs away from high school to find an alternative gay lifestyle in Amsterdam. He finds a home and a job at the ""House of Boys"", a bar-cum-brothel run by a strict Madame who has an eye for what his punters crave. Frank works his way up from barman to on-stage dancer and falls in love with some of his housemates, Jake. The first intimations of what is described as 'the gay cancer', casts a long shadow over Frank's tight-knit group of friends. Yet despite the troubles that cloud the hopes and dreams of young Frank, his perseverance, along with support from a willing doctor, will carry him through.",en,https://image.tmdb.org/t/p/w500/n84g3ZyjagIdw4hTKXUAC5dRwpX.jpg,6,Jean-Claude Schlim,"Delux Productions, Elsani Film, Moonstone Entertainment",
Last Report on Anna,2009,"10749, 36","Péter, a literary critic, is tasked by the secret police to persuade Social Democratic politician, Anna Kéthly, who has been living in exile for decades, to return home.",hu,https://image.tmdb.org/t/p/w500/zD7C9SVS4WkVblzdWNT9bHvq8p5.jpg,0,Márta Mészáros,,
1,2009,"878, 53","A bookshop renowned for its rare works is mysteriously and filled with copies of a book entitled 1, which doesn't appear to have a publisher or author. The strange almanac describes what happens to humanity in a minute. A police investigation begins and the bookshop staff are placed in solitary confinement by the Bureau for Paranormal Research. As the investigation progresses, the situation becomes more complex and the book becomes increasingly well-known, raising numerous controversies. Plagued by doubts, the protagonist has to face facts: reality only exists in the imagination of individuals.",hu,https://image.tmdb.org/t/p/w500/v197nRpv3m8p88Z3YpqYfXdF1f6.jpg,6.3,Pater Sparrow,"Moviebar, Cameo Film, End and End Image, Honeymood Films, Laokoon Filmgroup",
Watchmen,2009,"9648, 28, 878","In a gritty and alternate 1985, the glory days of costumed vigilantes have been brought to a close by a government crackdown. But after one of the masked veterans is brutally murdered, an investigation into the killer is initiated. The reunited heroes set out to prevent their own destruction, but in doing so they uncover a sinister plot that puts all of humanity in grave danger.",en,https://image.tmdb.org/t/p/w500/aVURelN3pM56lFM7Dgfs5TixcIf.jpg,7.336,Zack Snyder,"Warner Bros. Pictures, Paramount Pictures, Legendary Pictures, DC, Lawrence Gordon Productions, Lloyd Levin Productions",
Mixing Karma,2009,,Comedy about a Seattle family whose son wants to go into art with encouragement from their Indian neighbors.,en,N/A,4,N/A,,
Tom Cool,N/A,,"After going through 50 jobs, a young man lands a dream gig as a driver for an escort service.",en,N/A,0,N/A,,
Harry Potter and the Half-Blood Prince,2009,"12, 14","As Lord Voldemort tightens his grip on both the Muggle and wizarding worlds, Hogwarts is no longer a safe haven. Harry suspects perils may even lie within the castle, but Dumbledore is more intent upon preparing him for the final battle fast approaching. Together they work to find the key to unlock Voldemorts defenses and to this end, Dumbledore recruits his old friend and colleague Horace Slughorn, whom he believes holds crucial information. Even as the decisive showdown looms, romance blossoms for Harry, Ron, Hermione and their classmates. Love is in the air, but danger lies ahead and Hogwarts may never be the same again.",en,https://image.tmdb.org/t/p/w500/z7uo9zmQdQwU5ZJHFpv2Upl30i1.jpg,7.7,David Yates,"Warner Bros. Pictures, Heyday Films",
Royal Kill,2009,"28, 53","A fearsome warrior from the Kingdom of Samarza arrives in America to assassinate a high school girl. The girl does not know it, but she is the last living heir to the Kingdom. A noble guard arrives in America to protect the young princess.",en,https://image.tmdb.org/t/p/w500/bfvSyXcyyBoXKsquUSXrMYtvDX5.jpg,3.2,Babar Ahmed,21st Century Film Production,
Pains of Autumn,2009,"18, 36","When a nationalistic wealthy landowner's idealist son falls for a non-muslim prostitute, he finds himself in a conflict between his feelings and politics under the shadow of the events of September 6th-7th in 1955, the Istanbul Pogrom.",tr,https://image.tmdb.org/t/p/w500/7rb7BJV4ZiliODgXj9Djlkxf3UZ.jpg,5.8,Tomris Giritlioğlu,"C Yapim Filmcilik Produksiyon, aSis Yapım",
It Came from Trafalgar,2009,"35, 27, 878","1950s horror / sci-fi parody. Mostly filmed in 2003, this was only briefly screened on the convention circuit in 2009. There's been no release since.",en,https://image.tmdb.org/t/p/w500/iGDW02vjxuiSjc6WJdqJuI9zwN4.jpg,1,Solomon Mortamur,,
Fantastic Mr. Fox,2009,"12, 16, 35, 10751","The Fantastic Mr. Fox, bored with his current life, plans a heist against the three local farmers. The farmers, tired of sharing their chickens with the sly fox, seek revenge against him and his family.",en,https://image.tmdb.org/t/p/w500/t5v2Zsb5sa6PSP9jMUWY4GdIb3c.jpg,7.807,Wes Anderson,"Regency Enterprises, Indian Paintbrush, American Empirical Pictures",
Leningrad,2009,"10752, 18","When in 1941 Nazi Germany invaded the Soviet Union, their troops quickly besieged Leningrad. Foreign journalists are evacuated but one of them, Kate Davies, is presumed dead and misses the plane. Alone in the city she is helped by Nina Tsvetnova a young and idealist police officer and together they will fight for their own survival and the survival of the people in the besieged Leningrad.",en,https://image.tmdb.org/t/p/w500/8dofjiUPkEiGY7iFVPv6LSAAwII.jpg,5.5,Aleksandr Buravskiy,"KoBura Film, Ministerstvo kultury Rossiyskoy Federatsii, Studiya dokumental'nykh fil'mov Sankt-Peterburga, Channel One, Non-Stop Productions",
Daybreakers,2010,"28, 14, 878","In the year 2019, a plague has transformed almost every human into a vampire. Faced with a dwindling blood supply, the fractured dominant race plots their survival; meanwhile, a researcher works with a covert band of vampires on a way to save humankind.",en,https://image.tmdb.org/t/p/w500/iikQsCOJozI1JLGAnnrAeDJ2APt.jpg,6.273,Michael Spierig,"Lionsgate, Pictures in Paradise, Pacific Film and Television Commission, Furst Films, Australian Film Finance Corporation",
Wild About Harry,2009,18,"Set in 1973 and inspired by true events, 'Wild About Harry' follows the havoc wreaked in a teen girl’s life when she discovers that her widowed father is gay. Alternately comic and tragic and anchored by an impressive ensemble cast, the film captures both the freedoms and the homophobia of the time – all set against the backdrop of small town America on Cape Cod.  British widower Harry Goodhart decides to make a fresh start and moves with his teenage daughters to Cape Cod in 1973. But Harry can't leave behind the secret that threatens to tear his family apart. Adjusting to their new lives proves difficult for the girls when they discover that the connection between their dad and his partner is more than just a working relationship.",en,https://image.tmdb.org/t/p/w500/iJjAd9j7bUGcHp7d61YkT4Jhnkm.jpg,5.4,Gwen Wynne,Avery Productions,
The Perfect Sleep,2009,"28, 12, 18, 53","In a timeless city, a man with no name returns to the violent, brutal domain of assassins he left ten years before – back when they dubbed him The Mad Monk for his disregard for his own life and his intense devotion to one woman, Porphyria; a beautiful, luminescent woman; the girl he grew up with; the love of his life; the one thing he has ever wanted; the one thing he can never have.",en,https://image.tmdb.org/t/p/w500/zv46BDUwdMjnj4evC8q3j7j95VM.jpg,4,Jeremy Alter,,
G-Force,2009,"16, 10751, 14, 28, 12, 35","A team of trained secret agent animals, guinea pigs Darwin, Hurley, Juarez, Blaster, mole Speckles, and fly Mooch takes on a mission for the US government to stop evil Leonard Saber, who plans to destroy the world with household appliances. But the government shuts them down and they are sentenced to a pet shop. Can they escape to defeat the villain and save the world?",en,https://image.tmdb.org/t/p/w500/fkqcF21HKZPvCwO6BHPa3aCRaxz.jpg,5.5,Hoyt Yeatman,"Walt Disney Pictures, Jerry Bruckheimer Films, Whamaphram Productions",
How to Film Your Neighbor,2009,,"Who is forcing thousands of Eastern European girls into prostitution in the capitols of Europe itself? Billy Winston secretly watches his neighbours on CCTV. A pretty Russian prostitute he watches is murdered on CCTV. Billy is determined to discover who murdered her and why. He finds and confronts unspeakable evil. In London, someone is always watching you. How will you react?",en,https://image.tmdb.org/t/p/w500/rFaesHisfMz9S6u9nvO4XSCECrV.jpg,0,N/A,,
AmerAsian,2009,18,"Eric, an American-born Asian college graduate, must steal a younger student's identity in order to take back the one last year of baseball eligibility that he lost when his dad passed away. Monica, his Coach's All-American co-ed daughter, must ascertain her own questionable identity in order to come to terms with the years of abuse that she suffered. And then Lynette Lawson...",en,https://image.tmdb.org/t/p/w500/3QC9CesUS68EXrKF0zMOnR2enAp.jpg,4,Roger Lim,,
Paper Man,2009,"35, 18","A coming-of-middle-age comedy that chronicles the unlikely friendship between failed author Richard Dunne and a Long Island teen who teaches him a thing or two about growing up, all under the disapproving eye of his long-suffering wife and his imaginary Superhero friend.",en,https://image.tmdb.org/t/p/w500/BKaXYV4lujFxmzhwpLrMLGsYx6.jpg,6.284,Kieran Mulroney,Koch Media,
Why George?,2009,,Zach and his wife Sam live a happy life. Zach has a desire for his wife to have a lesbian experience as well. But one day Sam actually falls in love with a woman.,en,N/A,1,David Lowell Sonkin,"Hi Lo Productions, Rothstein Productions, Why George LLC",
Terminator Salvation,2009,"28, 878, 53","All grown up in post-apocalyptic 2018, John Connor must lead the resistance of humans against the increasingly dominating militaristic robots. But when Marcus Wright appears, his existence confuses the mission as Connor tries to determine whether Wright has come from the future or the past -- and whether he's friend or foe.",en,https://image.tmdb.org/t/p/w500/gw6JhlekZgtKUFlDTezq3j5JEPK.jpg,6.1,McG,"The Halcyon Company, Moritz Borman Productions, Wonderland Sound and Vision, Lin Pictures, Mandate International, T Asset Acquisition Company",
Kisse Pyaar Karoon,2009,35,"Sidh [Arshad Warsi], John [Aashish Chowdhry], and Amit [Yash Tonk] are inseparable friends. Their life is full of fun, frolic and adventure. But sometime the destiny cannot fathom such smooth sail. Hence it introduces twists and turns to the happy goings, to usher in some trauma and some drama.",hi,https://image.tmdb.org/t/p/w500/coJqiD6Gh9Ka6rDRZML3XlDz7aw.jpg,0,N/A,,
Wingless,2009,18,"A man who believes his days are numbered is saddled with more bad luck than he expects in this metaphorical comedy-drama from director Ivo Trajkov. Ever since he was a boy, Josef (David Svehlik) was been convinced he's destined to die at the age of 29, so he's understandably nervous as his 28th year is drawing to a close. Fate doesn't appear to be on Josef's side when his wife asks for a divorce and moves out, taking their young son with her, and he's next fired from his job fixing scales. Josef is in an unsettled state of mind, and his new friendship with free-spirited Gabriel (Karel Zima) doesn't help much, but Josef begins to wonder if luck is on his side again when he meets a lovely and warmed hearted woman, Olivia (Verica Nedeska).",cs,https://image.tmdb.org/t/p/w500/8386hbQF76D012eEKzqbW5tK8OM.jpg,5,Ivo Trajkov,"Kaval Film, Endorfilm, Česká televize",
For Real,2009,,"Six-year-old Shruti knows something no one else does - an alien has come in place of her mother and her real mother has been sent to the Orion Galaxy. This charming and original drama reveals a child's passage to finding her real mother, a man's struggle to save his family, and a woman's journey to finding herself.",en,N/A,0,Sona Jain,,
Bela Noite Para Voar,2005,"18, 36","A day in the life of Brazilian president Juscelino Kubitschek, in a troubled period of his term, while he maintains a secret love affair.",pt,https://image.tmdb.org/t/p/w500/fHnqfcyfPf0ezJRh4BlG2lhD2Zf.jpg,4,Zelito Viana,"Quanta Centro de Produções Cinematográficas, Caribe Produções, Focus Filmes, TeleImage",
Draft Dodgers,2009,18,"May 1944. A young man just out of college returns to his hometown in Luxembourg. Refusing to fight on the German side, he chooses a clandestine life and joins other deserters in an abandoned mine",fr,https://image.tmdb.org/t/p/w500/7yI5cJKU2klYMUQpfTEOgDbmaSl.jpg,5,Nicolas Steil,,
Knowing,2009,"28, 9648, 878, 53",A teacher opens a time capsule that has been dug up at his son's elementary school; in it are some chilling predictions -- some that have already occurred and others that are about to -- that lead him to believe his family plays a role in the events that are about to unfold.,en,https://image.tmdb.org/t/p/w500/7SJgkVoxCf7h6y3uA4tAR4Iowwp.jpg,6.215,Alex Proyas,"Summit Entertainment, Escape Artists, Mystery Clock Cinema, Kaplan/Perrone Entertainment, Wintergreen Productions, Goldcrest",
Yesterday Was a Lie,2009,"18, 9648, 878, 53","Hoyle, a girl with a sharp mind and a weakness for bourbon, finds herself on the trail of a reclusive genius. Along the way, her reality becomes disconnected and surreal. Her loyal partner and an ethereal lounge singer help her along the way, but ultimately she must turn within and confront her own shadow.",en,https://image.tmdb.org/t/p/w500/dJtY4pXjfnyKaYO1pP4C0u2XsQp.jpg,5.7,James Kerwin,"Helicon Arts Cooperative, IndiePix Studios, Entertainment One Television",
Blood Creek,2009,"27, 53",A man and his brother on a mission of revenge become trapped in a harrowing occult experiment dating back to the Third Reich.,en,https://image.tmdb.org/t/p/w500/i0nwhlyHPxz5THV3muyjZEiCFFC.jpg,5.4,Joel Schumacher,Gold Circle Films,
Cirque du Freak: The Vampire's Assistant,2009,"12, 14, 28, 53","Darren Shan is a regular teenage kid. He and his friend Steve find out about a Freak Show coming to town and work hard at trying to find tickets. They do, and together they go to ""Cirque du Freak"" where they see many strange acts including a wolf-man and a bearded lady",en,https://image.tmdb.org/t/p/w500/3Z2f50SKyHMWLLFH8OsV6hFoKLF.jpg,5.8,Paul Weitz,"Universal Pictures, Relativity Media, Depth of Field",
The Time Traveler's Wife,2009,"18, 10749, 14","Due to a genetic disorder, handsome librarian Henry DeTamble involuntarily zips through time, appearing at various moments in the life of his true love, the beautiful artist Clare Abshire.",en,https://image.tmdb.org/t/p/w500/J3ewuzQwhFro0pDpdcbZ4j7MYy.jpg,6.9,Robert Schwentke,"New Line Cinema, Plan B Entertainment, Nick Wechsler Productions",
Perfect Mismatch,2009,"35, 10749","Mr. Bhalla (Anupam Kher), a hyper-vibrant Punjabi lives in US along with his wife, daughter and nephew Aman (Anubhav Anand). Aman is in love with Neha (Nandana Sen), daughter of Mr. Patel (Boman Irani), a conventional Gujarati. Although the two are in love, their families have huge differences due to drastically different lifestyles. In the end, it's up to Aman and Neha to not only bring their families together but to live up to their expectations.",hi,https://image.tmdb.org/t/p/w500/vvkksBvnwyF7vr6FRchwllrkMZG.jpg,6,N/A,Xperience Films,
American Widow,2009,18,Five Hours. Six Countries. Seven Chapters. Eight Conflicts. Nine Women.,en,https://image.tmdb.org/t/p/w500/4JEQlC35HoxUPdrRgFMlMXMFCVH.jpg,0,C.S. Leigh,,
Prima Primavera,2009,,"A 55 year old man loses his mother, his only support and care. A Gypsy girl with questionable past joins him on his desperate cross border journey during which they develop a friendship and ""come of age"" - each their very own way.",en,https://image.tmdb.org/t/p/w500/rIhlxy74TbLud9qLlxXtOoBMQ3z.jpg,0,N/A,,
The Fakir of Venice,2019,"35, 18","Adi Merchant, a hustler from Mumbai is hired by a Venetian artist to find a fakir for an art installation in Venice. He cons the art fraternity and hires a daily wage labourer Sattar instead and the two have the most unique time of their lives in the picturesque European city.",hi,https://image.tmdb.org/t/p/w500/pWcJpwlN9A1YEyIa00nQSI6tWF8.jpg,4.7,Anand Surapur,Phat Phish Motion Pictures,
From Mexico With Love,2009,"28, 18",A washed-up trainer takes a self-destructive young boxer under his wing.,en,https://image.tmdb.org/t/p/w500/fQBW5g4ISliIiayKO18rwahKeme.jpg,5.2,Jimmy Nickerson,Cinamour Entertainment,
Land of the Lost,2009,"12, 35, 878","On his latest expedition, Dr. Rick Marshall is sucked into a space-time vortex alongside his research assistant and a redneck survivalist. In this alternate universe, the trio make friends with a primate named Chaka, their only ally in a world full of dinosaurs and other fantastic creatures.",en,https://image.tmdb.org/t/p/w500/hVCJzmK9l5FD01LFYAB1zcmmw7s.jpg,5.414,Brad Silberling,"Universal Pictures, Relativity Media, Sid & Marty Krofft Pictures, Mosaic Media Group",
Pope Joan,2009,"18, 36, 10749",A 9th century woman of English extraction born in the German city of Ingelheim disguises herself as a man and rises through the Vatican ranks.,en,https://image.tmdb.org/t/p/w500/cYeodvtw9wlo5DWUVwoTiqjvfLJ.jpg,6.8,Sönke Wortmann,"Constantin Film, Dune Films, Ikiru Films, MSM Studios, Medusa Film, ARD Degeto, NDR, MDR, SWR, WDR, Degeto Film, Film- und Medienstiftung NRW, Summit Entertainment, Mitteldeutsche Medienförderung",
"I, Don Giovanni",2009,"18, 10749","A drama based on the life of 18th century Italian lyricist Lorenzo da Ponte, who collaborated with Mozart on his ""Don Giovanni"" opera.",it,https://image.tmdb.org/t/p/w500/mqwgiehzAV6EgvKYAjxVxF6qAdD.jpg,4.8,Carlos Saura,"Intervenciones Novo Film 2006, A.I.E.",
X-Men Origins: Wolverine,2009,"12, 28, 878","After seeking to live a normal life, Logan sets out to avenge the death of his girlfriend by undergoing the mutant Weapon X program and becoming Wolverine.",en,https://image.tmdb.org/t/p/w500/yj8LbTju1p7CUJg7US2unSBk33s.jpg,6.3,Gavin Hood,"The Donners' Company, Seed Productions, 20th Century Fox, Marvel Entertainment, Dune Entertainment",
The Ritual,2009,"18, 27","A serial killer begins the process of grooming a protégé, until outside influences threaten to destroy their sadistic relationship.",en,https://image.tmdb.org/t/p/w500/qX3WVtGBVWel4VEBthhedQz3PUG.jpg,3.3,Anthony Spadaccini,"Fleet Street Films, B.P.A. Productions",
Cold Storage,2009,"27, 53","A backwoods recluse steals the body of a young girl killed in a violent car crash, locking her in the freezer of his isolated shed as her sister and boyfriend search frantically for any clues to her whereabouts. The woman of Clive's dreams may be dead, but she'll always be true and she'll never grow old - at least as long as he keeps her on ice. When Cathy and Deric show up looking for the missing traveler, Clive takes them both hostage in a sinister bid to hide his ghoulish secret. ~ Jason Buchanan",en,https://image.tmdb.org/t/p/w500/2PPSQj0h5EIxTtCuKfc00Xyk9GJ.jpg,4.7,Tony Elwood,Synthetic Fur Productions,
Naco Es Chido,2010,"99, 35",Sergio Arau's documentary on his 1980's mexican rock band Botellita de Jerez.,es,N/A,6.1,Sergio Arau,,
Baja Beach Bums,2009,35,"A cocky dot-commer hits rock bottom and has to patch his life together with what's at his disposal; a beach, a bus, some beer, and a burro. With the help of some surfers he learns to enjoy the here and now... wherever that may be.",en,https://image.tmdb.org/t/p/w500/u7bfmwUqAyYIpn8IdifmMwbsq4t.jpg,3,Patrick Healy,,
